,matched_id,rowid,school,district_y,address_y,original_name_y
170,1762,1762,Contreras Learning Center-School of Social Justice(LAUSD),Los Angeles Unified,322 South Lucas Ave.,Contreras Learning Center-School of Social Justice(LAUSD)
171,1719,1719,Morris K. Hamasaki Elementary(LAUSD),Los Angeles Unified,4865 East First St.,Morris K. Hamasaki Elementary(LAUSD)
172,1719,1719,Morris K. Hamasaki Elementary(LAUSD),Los Angeles Unified,4865 East First St.,Morris K. Hamasaki Elementary(LAUSD)
173,1722,1722,Mt. Gleason Middle(LAUSD),Los Angeles Unified,10965 Mt. Gleason Ave.,Mt. Gleason Middle(LAUSD)
174,1722,1722,Mt. Gleason Middle(LAUSD),Los Angeles Unified,10965 Mt. Gleason Ave.,Mt. Gleason Middle(LAUSD)
175,2049,2049,Oliver Wendell Holmes Middle(LAUSD),Los Angeles Unified,9351 Paso Robles Ave.,Oliver Wendell Holmes Middle(LAUSD)
176,1339,1339,Orville Wright Engineering and Design Magnet(LAUSD),Los Angeles Unified,6550 West 80th St.,Orville Wright Engineering and Design Magnet(LAUSD)
177,2193,2193,Pacific Boulevard(LAUSD),Los Angeles Unified,2660 East 57th St.,Pacific Boulevard(LAUSD)
178,2209,2209,Panorama High(LAUSD),Los Angeles Unified,8015 Van Nuys Blvd.,Panorama High(LAUSD)
179,2209,2209,Panorama High(LAUSD),Los Angeles Unified,8015 Van Nuys Blvd.,Panorama High(LAUSD)
180,2209,2209,Panorama High(LAUSD),Los Angeles Unified,8015 Van Nuys Blvd.,Panorama High(LAUSD)
181,2215,2215,Paseo del Rey Fundamental(LAUSD),Los Angeles Unified,7751 Paseo del Rey,Paseo del Rey Fundamental(LAUSD)
182,2274,2274,Porter Ranch Community(LAUSD),Los Angeles Unified,12450 Mason Ave.,Porter Ranch Community(LAUSD)
183,1487,1487,RFK Comm Schls - Ambassador School - Global Education(LAUSD),Los Angeles Unified,3201 West Eighth St.,RFK Comm Schls - Ambassador School - Global Education(LAUSD)
184,1487,1487,RFK Comm Schls - Ambassador School - Global Education(LAUSD),Los Angeles Unified,3201 West Eighth St.,RFK Comm Schls - Ambassador School - Global Education(LAUSD)
185,1819,1819,New Open World Academy K-12(LAUSD),Los Angeles Unified,3201 West Eighth St.,New Open World Academy K-12(LAUSD)
