id,district,status,school_name,school_name_with_some_districts_attached,participating,address_x,address_y,city_x,city_y,score,duped
673,LAUSD,,Gulf Avenue Elementary STEAM Magnet (LAUSD),Gulf Avenue Elementary STEAM Magnet,True,828 W L St,,Wilmington,, 90.0,False
674,LAUSD,,Haddon Ave Elementary STEAM Magnet (LAUSD),Haddon Ave Elementary STEAM Magnet,True,10115 Haddon Ave,,Pacoima,, 90.0,False
675,LAUSD,Active,Haddon Avenue Elementary (LAUSD),Haddon Avenue Elementary,True,10115 Haddon Ave,10115 Haddon Ave.,Pacoima,Pacoima, 100.0,False
676,LAUSD,Active,Halldale Elementary (LAUSD),Halldale Elementary,True,21514 Halldale Ave,21514 Halldale Ave.,Torrance,Torrance, 100.0,False
677,LAUSD,Active,Hamlin Charter Academy (LAUSD),Hamlin Charter Academy,True,22627 Hamlin St,22627 Hamlin St.,West Hills,West Hills, 100.0,False
678,LAUSD,Active,Hancock Park Elementary (LAUSD),Hancock Park Elementary,True,408 S Fairfax Ave,408 South Fairfax Ave.,Los Angeles,Los Angeles, 100.0,False
679,LAUSD,Active,Harbor City Elementary (LAUSD),Harbor City Elementary,True,1508 W 254th St,1508 West 254th St.,Harbor City,Harbor City, 100.0,False
680,LAUSD,Active,Harding Street Elementary (LAUSD),Harding Street Elementary,True,13060 Harding St,13060 Harding St.,Sylmar,Sylmar, 100.0,False
681,LAUSD,,Harmony Elementary DL Two-Way Im Spanish (LAUSD),Harmony Elementary DL Two-Way Im Spanish,True,899 E 42nd Pl,,Los Angeles,, 90.0,False
682,LAUSD,,Harmony Elementary School (LAUSD),Harmony Elementary School,True,899 E 42nd Pl,,Los Angeles,, 95.0,False
683,LAUSD,,Harold McAlister High School CYESIS (LAUSD),Harold McAlister High School CYESIS,True,611 S Carondelet St,,Los Angeles,,,False
684,LAUSD,,Harris Newmark Continuation High (LAUSD),Harris Newmark Continuation High,True,1575 W 2nd St,,Los Angeles,, 95.0,False
685,LAUSD,Active,Harrison Street Elementary (LAUSD),Harrison Street Elementary,True,3529 City Terrace Dr,3529 City Terrace Dr.,Los Angeles,Los Angeles, 100.0,False
686,LAUSD,,Harrison Street Elementary DL Two-Way Im Spanish (LAUSD),Harrison Street Elementary DL Two-Way Im Spanish,True,3529 City Terrace Dr,,Los Angeles,, 90.0,False
687,LAUSD,,Harry Bridges Span School (LAUSD),Harry Bridges Span School,True,1235 Broad Ave,,Wilmington,, 95.0,False
688,LAUSD,Active,Hart Street Elementary (LAUSD),Hart Street Elementary,True,21040 Hart St,21040 Hart St.,Canoga Park,Canoga Park, 100.0,False
689,LAUSD,Active,Harvard Elementary (LAUSD),Harvard Elementary,True,330 N Harvard Blvd,330 North Harvard Blvd.,Los Angeles,Los Angeles, 100.0,False
690,LAUSD,,Harvard Elementary DL Two-Way Im Spanish (LAUSD),Harvard Elementary DL Two-Way Im Spanish,True,330 N Harvard Bl,,Los Angeles,, 90.0,False
691,LAUSD,,Haskell Elementary STEAM Magnet (LAUSD),Haskell Elementary STEAM Magnet,True,15850 Tulsa St,,Granada Hills,, 90.0,False
692,LAUSD,Active,Hawaiian Avenue Elementary (LAUSD),Hawaiian Avenue Elementary,True,540 Hawaiian Ave,540 Hawaiian Ave.,Wilmington,Wilmington, 100.0,False
693,LAUSD,,Hawaiian Avenue Elementary STEAM Magnet (LAUSD),Hawaiian Avenue Elementary STEAM Magnet,True,540 Hawaiian Ave,,Wilmington,, 90.0,False
694,LAUSD,Active,Haynes Charter for Enriched Studies (LAUSD),Haynes Charter for Enriched Studies,True,6624 Lockhurst Dr,6624 Lockhurst Dr.,West Hills,West Hills, 100.0,False
695,LAUSD,Active,Hazeltine Avenue Elementary (LAUSD),Hazeltine Avenue Elementary,True,7150 Hazeltine Ave,7150 Hazeltine Ave.,Van Nuys,Van Nuys, 100.0,False
696,LAUSD,,Hazeltine Avenue Elementary DL Two-Way Im Spanish (LAUSD),Hazeltine Avenue Elementary DL Two-Way Im Spanish,True,7150 Hazeltine Ave,,Van Nuys,, 90.0,False
697,LAUSD,,Helen Bernstein Senior High (LAUSD),Helen Bernstein Senior High,True,1309 N Wilton Pl,,Hollywood,, 95.0,False
698,LAUSD,,Helen Bernstein Senior High Cine Arts/Creative Tech Magnet (LAUSD),Helen Bernstein Senior High Cine Arts/Creative Tech Magnet,True,1309 N Wilton Pl,,Hollywood,,,False
