school,district,street,city,state,zip
St. Didacus(LAUSD),Los Angeles Unified,14325 Astoria St.,Sylmar,CA,91342-4124
St. Dominic School(LAUSD),Los Angeles Unified,2005 Merton Ave,Los Angeles,CA,90041-1911
ST. ELISABETH SCHOOL(LAUSD),Los Angeles Unified,6635 TOBIAS Ave.,Van Nuys,CA,91405-4614
St. Eugene(LAUSD),Los Angeles Unified,9521 Haas Ave.,Los Angeles,CA,90047-3739
Teresa Hughes Elementary(LAUSD),Los Angeles Unified,4242 Clara St.,Cudahy,CA,90201-5010
The Center for Early Education(LAUSD),Los Angeles Unified,563 North Alfred St.,West Hollywood,CA,90048-2512
The City(LAUSD),Los Angeles Unified,5753 Obama Blvd.,Los Angeles,CA,90016-5013
The Help Group's North Hills Prep(LAUSD),Los Angeles Unified,15339 Saticoy St.,Van Nuys,CA,91406-3345
The Mirman School for Gifted Children(LAUSD),Los Angeles Unified,16180 Mulholland Dr.,Los Angeles,CA,90049-1125
ICL Academy(LAUSD),Los Angeles Unified,6227 West 5Th St.,Los Angeles,CA,90048-4725
Immaculate Conception(LAUSD),Los Angeles Unified,830 Green Ave.,Los Angeles,CA,90017-4313
Immaculate Heart of Mary Elementary(LAUSD),Los Angeles Unified,1055 North Alexandria Ave.,Los Angeles,CA,90029-2517
Independence Continuation(LAUSD),Los Angeles Unified,6501 Balboa Blvd.,Lake Balboa,CA,91406-5526
Independence Elementary(LAUSD),Los Angeles Unified,8435 Victoria Ave.,South Gate,CA,90280-2353
Interamerican Adult School(LAUSD),Los Angeles Unified,2542 E Florence Ave. Ste. E,Walnut Park,CA,90255-4774
International School of Los Angeles-LF(LAUSD),Los Angeles Unified,4155 Russell Ave.,Los Angeles,CA,90027-4509
International School of Los Angeles?WV(LAUSD),Los Angeles Unified,5933 Lindley Ave.,Tarzana,CA,91356-1723
International Studies Learning Center at Legacy High School Complex(LAUSD),Los Angeles Unified,5225 Tweedy Blvd.,South Gate,CA,90280-5332
Kirk O' The Valley School(LAUSD),Los Angeles Unified,19620 Vanowen St.,Reseda,CA,91335-4945
Kittridge Street Elementary(LAUSD),Los Angeles Unified,13619 Kittridge St.,Van Nuys,CA,91401-1113
Knollwood Preparatory Academy(LAUSD),Los Angeles Unified,11822 Gerald Ave.,Granada Hills,CA,91344-2849
Korean Baptist Church School(LAUSD),Los Angeles Unified,964 South Berendo St.,Los Angeles,CA,90006
Korean Education Center Online School(LAUSD),Los Angeles Unified,16156 High Tor Dr.,Hacienda Heights,CA,91745-6519
L.A. ROAD Christian School(LAUSD),Los Angeles Unified,3508 N Eagle Rock Blvd,Los Angeles,CA,90065-2827
La Salle Avenue Elementary(LAUSD),Los Angeles Unified,8715 La Salle Ave.,Los Angeles,CA,90047-3320
Lafayette Park Primary Center(LAUSD),Los Angeles Unified,310 South La Fayette Park Pl.,Los Angeles,CA,90057-1604
Lake Balboa College Preparatory Magnet K-12(LAUSD),Los Angeles Unified,6701 Balboa Blvd.,Lake Balboa,CA,91406-5531
Lake Street Primary(LAUSD),Los Angeles Unified,135 North Lake St.,Los Angeles,CA,90026-5320
Lanai Road Elementary(LAUSD),Los Angeles Unified,4241 Lanai Rd.,Encino,CA,91436-3614
Langdon Avenue Elementary(LAUSD),Los Angeles Unified,8817 Langdon Ave.,North Hills,CA,91343-5004
Lankershim Elementary(LAUSD),Los Angeles Unified,5250 Bakman Ave.,North Hollywood,CA,91601-3101
Lassen Elementary(LAUSD),Los Angeles Unified,15017 Superior St.,North Hills,CA,91343-2440
Latona Avenue Elementary(LAUSD),Los Angeles Unified,4312 Berenice Ave.,Los Angeles,CA,90031-1408
Monte Vista Street Elementary(LAUSD),Los Angeles Unified,5423 Monte Vista St.,Los Angeles,CA,90042-3322
Monterey Continuation(LAUSD),Los Angeles Unified,466 South Fraser St.,Los Angeles,CA,90022-1929
Montessori Academy of Culver City(LAUSD),Los Angeles Unified,5881 Green Valley Cir.,Culver City,CA,90230-6901
Moore's Daycare Preparatory(LAUSD),Los Angeles Unified,1700 West 120th St.,Los Angeles,CA,90047-5203
Morning Star Christian Academy(LAUSD),Los Angeles Unified,15055 Oxnard St..,Van Nuys,CA,91411-2613
Morningside Elementary(LAUSD),Los Angeles Unified,576 North Maclay Ave.,San Fernando,CA,91340-2497
Morris K. Hamasaki Elementary(LAUSD),Los Angeles Unified,4865 East First St.,Los Angeles,CA,90022-1305
Mother of Sorrows(LAUSD),Los Angeles Unified,100 West 87th Pl.,Los Angeles,CA,90003-3316
Mountain View Elementary(LAUSD),Los Angeles Unified,6410 Olcott St.,Tujunga,CA,91042-2830
Mt. Gleason Middle(LAUSD),Los Angeles Unified,10965 Mt. Gleason Ave.,Sunland,CA,91040-2229
Mt. Lukens Continuation(LAUSD),Los Angeles Unified,7705 Summitrose St.,Tujunga,CA,91042-1727
Mt. Washington Elementary(LAUSD),Los Angeles Unified,3981 San Rafael Ave.,Los Angeles,CA,90065-4013
Muhammad University of Islam - Los Angeles(LAUSD),Los Angeles Unified,8936 S. Western Ave,Los Angeles,CA,90047-3548
Multnomah Street Elementary(LAUSD),Los Angeles Unified,2101 North Indiana Ave.,Los Angeles,CA,90032-3618
Murchison Street Elementary(LAUSD),Los Angeles Unified,1501 Murchison St.,Los Angeles,CA,90033-1526
President Avenue Elementary(LAUSD),Los Angeles Unified,1465 West 243rd St.,Harbor City,CA,90710-1706
Primary Academy for Success(LAUSD),Los Angeles Unified,9075 Willis Ave.,Panorama City,CA,91402-1512
Public Service Community at Diego Rivera Learning Complex(LAUSD),Los Angeles Unified,6100 South Central Ave.,Los Angeles,CA,90001-1133
Van Deene Avenue Elementary(LAUSD),Los Angeles Unified,826 West Javelin St.,Torrance,CA,90502-1719
Van Gogh Charter(LAUSD),Los Angeles Unified,17160 Van Gogh St.,Granada Hills,CA,91344-1217
Van Ness Avenue Elementary(LAUSD),Los Angeles Unified,501 North Van Ness Ave.,Los Angeles,CA,90004-1527
Van Nuys Elementary(LAUSD),Los Angeles Unified,6464 Sylmar Ave.,Van Nuys,CA,91401-1433
Van Nuys Middle(LAUSD),Los Angeles Unified,5435 Vesper Ave.,Van Nuys,CA,91411-3738
Van Nuys Senior High(LAUSD),Los Angeles Unified,6535 Cedros Ave.,Van Nuys,CA,91411-1506
Cesar E Chavez Learning Academy - Arts/Theatre/Entertain Mag(LAUSD),Los Angeles Unified,1001 Arroyo Ave,San Fernando,CA,91340
Alexander Fleming Middle (LAUSD),Los Angeles Unified,25425 Walnut St.,Lomita,CA,90717-2610
Alexander Hamilton Senior High (LAUSD),Los Angeles Unified,2955 Robertson Blvd.,Los Angeles,CA,90034-3116
"Alexandria Academy, The (LAUSD)",Los Angeles Unified,21781 Ventura Blvd Ste.203,Woodland Hills,CA,91364-1835
Alexandria Avenue Elementary (LAUSD),Los Angeles Unified,4211 Oakwood Ave.,Los Angeles,CA,90004-3214
Alfonso B. Perez Special Education Center (LAUSD),Los Angeles Unified,4540 Michigan Ave.,Los Angeles,CA,90022-1130
Alfred B. Nobel Charter Middle (LAUSD),Los Angeles Unified,9950 Tampa Ave.,Northridge,CA,91324-1142
all about kids (LAUSD),Los Angeles Unified,7123 Baird Ave,Reseda,CA,91335-4129
Allesandro Elementary (LAUSD),Los Angeles Unified,2210 Riverside Dr.,Los Angeles,CA,90039-4009
Bridgeport West School (LAUSD),Los Angeles Unified,4160 Grand View Blvd.,Los Angeles,CA,90066-5214
Bridges Academy (LAUSD),Los Angeles Unified,3921 Laurel Canyon Blvd,Studio City,CA,91604-3710
Broad Avenue Elementary (LAUSD),Los Angeles Unified,24815 Broad Ave.,Wilmington,CA,90744-1036
Broadacres Avenue Elementary (LAUSD),Los Angeles Unified,19424 South Broadacres Ave.,Carson,CA,90746-2710
Broadway Elementary (LAUSD),Los Angeles Unified,1015 Lincoln Blvd.,Venice,CA,90291-3506
Brockton Avenue Elementary (LAUSD),Los Angeles Unified,1309 Armacost Ave.,Los Angeles,CA,90025-1459
Brooklyn Avenue Elementary (LAUSD),Los Angeles Unified,4620 Cesar Chavez Ave.,Los Angeles,CA,90022-1148
Bryson Avenue Elementary (LAUSD),Los Angeles Unified,4470 Missouri Ave.,South Gate,CA,90280-5057
"Buckley School, The (LAUSD)",Los Angeles Unified,3900 Stansbury Ave.,Sherman Oaks,CA,91423-4699
Buckner Educational Christian Academy (LAUSD),Los Angeles Unified,2330 W Florence Ave,Los Angeles,CA,90043-5145
Budlong Avenue Elementary (LAUSD),Los Angeles Unified,5940 South Budlong Ave.,Los Angeles,CA,90044-2815
Burbank Boulevard Elementary (LAUSD),Los Angeles Unified,12215 Albers St.,North Hollywood,CA,91607-2011
Burton Street Elementary(LAUSD),Los Angeles Unified,8111 Calhoun Ave.,Panorama City,CA,91402-5305
Bushnell Way Elementary(LAUSD),Los Angeles Unified,5507 Bushnell Way,Los Angeles,CA,90042-4822
C. and E. Merdinian Armenian Evangelical School(LAUSD),Los Angeles Unified,13330 Riverside Dr.,Sherman Oaks,CA,91423-2521
Cabrillo Avenue Elementary(LAUSD),Los Angeles Unified,732 South Cabrillo Ave.,San Pedro,CA,90731-3025
Contreras Learning Center-School of Social Justice(LAUSD),Los Angeles Unified,322 South Lucas Ave.,Los Angeles,CA,90017-1406
Cornerstone Academy of Los Angeles(LAUSD),Los Angeles Unified,3525 Glenhurst Ave.,Los Angeles,CA,90039-2124
Corona Avenue Elementary(LAUSD),Los Angeles Unified,3825 Bell Ave.,Bell,CA,90201-2308
Buchanan Street Elementary(LAUSD),Los Angeles Unified,5024 Buchanan St.,Los Angeles,CA,90042-2340
John Marshall Senior High(LAUSD),Los Angeles Unified,3939 Tracy St.,Los Angeles,CA,90027-3207
John Muir Middle(LAUSD),Los Angeles Unified,5929 South Vermont Ave.,Los Angeles,CA,90044-3713
John R. Wooden High(LAUSD),Los Angeles Unified,18741 Elkwood St.,Reseda,CA,91335-1802
Limerick Avenue Elementary(LAUSD),Los Angeles Unified,8530 Limerick Ave.,Canoga Park,CA,91306-1299
Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine(LAUSD),Los Angeles Unified,6361 Cottage St.,Huntington Park,CA,90255-3521
Linda Esperanza Marquez High B LIBRA Academy(LAUSD),Los Angeles Unified,6361 Cottage St.,Huntington Park,CA,90255-3521
Linda Esperanza Marquez High C School of Social Justice(LAUSD),Los Angeles Unified,6361 Cottage St.,Huntington Park,CA,90255-3521
Little Acorns Grow(LAUSD),Los Angeles Unified,19000 Saticoy St.,Reseda,CA,91335-2519
Little Citizens / Westside Academy #3(LAUSD),Los Angeles Unified,3672 7th Ave.,Los Angeles,CA,90018
Little Citizens Westside Academy #1(LAUSD),Los Angeles Unified,4256 South Western Ave.,Los Angeles,CA,90062-1645
Little Citizens Westside Academy #3(LAUSD),Los Angeles Unified,3666 7th Ave.,Los Angeles,CA,90018-4106
Lockhurst Drive Charter Elementary(LAUSD),Los Angeles Unified,6170 Lockhurst Dr.,Woodland Hills,CA,91367-1204
Lockwood Avenue Elementary(LAUSD),Los Angeles Unified,4345 Lockwood Ave.,Los Angeles,CA,90029-2809
Logan Academy of Global Ecology(LAUSD),Los Angeles Unified,1711 West Montana St.,Los Angeles,CA,90026-3311
Loma Vista Elementary(LAUSD),Los Angeles Unified,3629 East 58th St.,Maywood,CA,90270-2616
Lomita Math/Science/Technology Magnet(LAUSD),Los Angeles Unified,2211 247th St.,Lomita,CA,90717-1503
Loren Miller Elementary(LAUSD),Los Angeles Unified,830 West 77th St.,Los Angeles,CA,90044-5146
Lorena Street Elementary(LAUSD),Los Angeles Unified,1015 South Lorena St.,Los Angeles,CA,90023-2222
Loreto Street Elementary(LAUSD),Los Angeles Unified,3408 Arroyo Seco Ave.,Los Angeles,CA,90065-2454
Lorne Street Elementary(LAUSD),Los Angeles Unified,17440 Lorne St.,Northridge,CA,91325-4459
Los Angeles Academy Middle(LAUSD),Los Angeles Unified,644 East 56th St.,Los Angeles,CA,90011-4660
New World Montessori School(LAUSD),Los Angeles Unified,10520 Regent St.,Los Angeles,CA,90034-6304
Newcastle Elementary(LAUSD),Los Angeles Unified,6520 Newcastle Ave.,Reseda,CA,91335-6230
Ninety-Fifth Street/ 95th St. Elementary (LAUSD),Los Angeles Unified,1109 West 96th St.,Los Angeles,CA,90044-3205
Ninety-Ninth Street/99th St. Elementary (LAUSD),Los Angeles Unified,9900 South Wadsworth Ave.,Los Angeles,CA,90002-2746
Ninety-Second Street/92nd St. Elementary (LAUSD),Los Angeles Unified,9211 Grape St.,Los Angeles,CA,90002-2528
Ninety-Sixth Street/96th St. Elementary (LAUSD),Los Angeles Unified,1471 East 96th St.,Los Angeles,CA,90002-2210
Ninety-Third Street/93rd St. Elementary(LAUSD),Los Angeles Unified,330 East 93rd St.,Los Angeles,CA,90003-3827
Ninth Street/9th St. Elementary (LAUSD),Los Angeles Unified,835 St.anford Ave.,Los Angeles,CA,90021-1847
Nishiyamato Academy(LAUSD),Los Angeles Unified,2458 Lomita Blvd.,Lomita,CA,90717-1414
Noble Avenue Elementary(LAUSD),Los Angeles Unified,8329 Noble Ave.,North Hills,CA,91343-6617
Nora Sterry Elementary(LAUSD),Los Angeles Unified,1730 Corinth Ave.,Los Angeles,CA,90025-4211
Normandie Avenue Elementary(LAUSD),Los Angeles Unified,4505 South Raymond Ave.,Los Angeles,CA,90037-2817
Normandie Christian of Los Angeles(LAUSD),Los Angeles Unified,6306 South Normandie Ave.,Los Angeles,CA,90044-2628
Normont Elementary(LAUSD),Los Angeles Unified,1001 West 253rd St.,Harbor City,CA,90710-3003
North Hollywood Senior High(LAUSD),Los Angeles Unified,5231 Colfax Ave.,North Hollywood,CA,91601-3002
North Valley Christian School(LAUSD),Los Angeles Unified,8854 Haskell Ave.,North Hills,CA,91343-4910
North Valley Occupational Center(LAUSD),Los Angeles Unified,11450 Sharp Ave.,Mission Hills,CA,91345-1232
Resurrection(LAUSD),Los Angeles Unified,3360 E. Opal St.,Los Angeles,CA,90023-2917
Ribet Academy(LAUSD),Los Angeles Unified,2911 North San Fernando Rd.,Los Angeles,CA,90065-1323
Ricardo Lizarraga Elementary(LAUSD),Los Angeles Unified,401 East 40th Pl.,Los Angeles,CA,90011-5640
Richard A. Alonzo Community Day(LAUSD),Los Angeles Unified,5755 Fountain Ave.,Los Angeles,CA,90028-8531
Richard E. Byrd Middle(LAUSD),Los Angeles Unified,8501 Arleta Ave.,Sun Valley,CA,91352-2958
Richard Henry Dana Middle(LAUSD),Los Angeles Unified,1501 South Cabrillo Ave.,San Pedro,CA,90731-4617
Richard N. Slawson Southeast OC(LAUSD),Los Angeles Unified,5500 Rickenbacker Rd.,Bell,CA,90201
Richard Riordan Primary Center(LAUSD),Los Angeles Unified,5531 Monte Vista St.,Los Angeles,CA,90042-3324
Richland Avenue Elementary(LAUSD),Los Angeles Unified,11562 Richland Ave.,Los Angeles,CA,90064-3733
Rio Vista Elementary(LAUSD),Los Angeles Unified,4243 Satsuma Ave.,North Hollywood,CA,91602-3226
Rise Montessori School(LAUSD),Los Angeles Unified,7120 Remmet Ave.,Canoga Park,CA,91303-2015
Rising Stars Academy(LAUSD),Los Angeles Unified,1851 w Imperial Hwy.,Los Angeles,CA,90047-5021
Rising Stars Academy Elementary(LAUSD),Los Angeles Unified,1909 W. Imperial Hwy,Los Angeles,CA,90047-5023
New Horizon School Los Angeles(LAUSD),Los Angeles Unified,434 South Vermont Ave.,Los Angeles,CA,90020-1910
New Horizon School Westside(LAUSD),Los Angeles Unified,1819 Sawtelle Blvd.,Los Angeles,CA,90025-5532
New Open World Academy K-12(LAUSD),Los Angeles Unified,3201 West Eighth St.,Los Angeles,CA,90010-2171
Purche Avenue Elementary(LAUSD),Los Angeles Unified,13210 Purche Ave.,Gardena,CA,90249-1653
Queen Anne Place Elementary(LAUSD),Los Angeles Unified,1212 Queen Anne Pl.,Los Angeles,CA,90019-6819
Quincy Jones Elementary(LAUSD),Los Angeles Unified,900 East 33rd St.,Los Angeles,CA,90011-2524
Rabbi Jacob Pressman Academy(LAUSD),Los Angeles Unified,1055 South La Cienega Blvd.,Los Angeles,CA,90035-2507
Ramon C. Cortines School of Visual and Performing Arts(LAUSD),Los Angeles Unified,450 North Grand Ave.,Los Angeles,CA,90012-2123
Ramona Elementary(LAUSD),Los Angeles Unified,1133 North Mariposa Ave.,Los Angeles,CA,90029-1413
Ritter Elementary(LAUSD),Los Angeles Unified,11108 Watts Ave.,Los Angeles,CA,90059-1444
Riverside Drive Charter(LAUSD),Los Angeles Unified,13061 Riverside Dr.,Sherman Oaks,CA,91423-2128
Simon Rodia Continuation(LAUSD),Los Angeles Unified,2701 Sequoia Dr.,South Gate,CA,90280-5555
Sinai Akiba Academy(LAUSD),Los Angeles Unified,10400 Wilshire Blvd.,Los Angeles,CA,90024-4602
Sixth Avenue/6th Ave. Elementary(LAUSD),Los Angeles Unified,3109 Sixth Ave.,Los Angeles,CA,90018-2920
Sixty-First Street/61st St. Elementary (LAUSD),Los Angeles Unified,6020 South Figueroa St.,Los Angeles,CA,90003-1020
Sixty-Sixth Street /66th St. Elementary(LAUSD),Los Angeles Unified,6600 South San Pedro St.,Los Angeles,CA,90003-1938
"Slauson Learning Center, No. 1(LAUSD)",Los Angeles Unified,5816 West Blvd.,Los Angeles,CA,90043
Social Justice Leadership Academy at Esteban E. Torres High No. 5(LAUSD),Los Angeles Unified,4211 Dozier St.,Los Angeles,CA,90063-3422
Solano Avenue Elementary(LAUSD),Los Angeles Unified,615 Solano Ave.,Los Angeles,CA,90012-1036
Sophia T. Salvin Special Education Center(LAUSD),Los Angeles Unified,1925 Budlong Ave.,Los Angeles,CA,90007-1109
Soto Street Elementary(LAUSD),Los Angeles Unified,1020 South Soto St.,Los Angeles,CA,90023-1324
Sotomayor Arts and Sciences Magnet(LAUSD),Los Angeles Unified,2050 San Fernando Rd.,Los Angeles,CA,90065-1267
South East High(LAUSD),Los Angeles Unified,2720 Tweedy Blvd.,South Gate,CA,90280-5539
South Gate Middle(LAUSD),Los Angeles Unified,4100 Firestone Blvd.,South Gate,CA,90280-3218
South Gate Senior High(LAUSD),Los Angeles Unified,3351 Firestone Blvd.,South Gate,CA,90280-2937
South Park Elementary(LAUSD),Los Angeles Unified,8510 Towne Ave.,Los Angeles,CA,90003-3119
South Shores/CSUDH Visual and Performing Arts(LAUSD),Los Angeles Unified,2060 West 35th St.,San Pedro,CA,90732-4704
Southeast Middle(LAUSD),Los Angeles Unified,2560 Tweedy Blvd.,South Gate,CA,90280-5557
Southern California Christian Academy(LAUSD),Los Angeles Unified,14509 Spinning Ave.,Gardena,CA,90249-3249
Special Education-Infant/Preschool Program(LAUSD),Los Angeles Unified,"333 South Beaudry Ave., Fl. 17",Los Angeles,CA,90017-5105
Ambler Avenue Elementary(LAUSD),Los Angeles Unified,319 East Sherman Dr.,Carson,CA,90746-1158
Amelia Earhart Continuation(LAUSD),Los Angeles Unified,5355 Colfax Ave.,North Hollywood,CA,91601-3045
American Unified School of Technology(LAUSD),Los Angeles Unified,"5348 Newcastle Ave, Ste. 121",ENCINO,CA,91316-3034
Amestoy Elementary(LAUSD),Los Angeles Unified,1048 West 149th St.,Gardena,CA,90247-3008
Anatola Avenue Elementary(LAUSD),Los Angeles Unified,7364 Anatola Ave.,Lake Balboa,CA,91406-2350
Andasol Avenue Elementary(LAUSD),Los Angeles Unified,10126 Encino Ave.,Northridge,CA,91325-1404
Andres and Maria Cardenas Elementary(LAUSD),Los Angeles Unified,6900 Calhoun Ave.,Van Nuys,CA,91405-3209
Andrew Carnegie Middle(LAUSD),Los Angeles Unified,21820 Bonita St.,Carson,CA,90745-3404
Angel's Gate (Continuation)(LAUSD),Los Angeles Unified,3607 South Gaffey St.,San Pedro,CA,90731-6969
Angeles Mesa Elementary(LAUSD),Los Angeles Unified,2611 West 52nd St.,Los Angeles,CA,90043-1917
Ramona Opportunity High(LAUSD),Los Angeles Unified,231 South Alma Ave.,Los Angeles,CA,90063-2412
Ranchito Avenue Elementary(LAUSD),Los Angeles Unified,7940 Ranchito Ave.,Panorama City,CA,91402-6131
Rancho Dominguez Preparatory(LAUSD),Los Angeles Unified,4110 Santa Fe Ave.,Long Beach,CA,90810-1439
Raymond Avenue Elementary(LAUSD),Los Angeles Unified,7511 Raymond Ave.,Los Angeles,CA,90044-2430
Redeemer Baptist Elementary(LAUSD),Los Angeles Unified,10792 National,Los Angeles,CA,90064-4234
ReJOYce In Jesus Christian School(LAUSD),Los Angeles Unified,1304 South Cochran Ave.,Los Angeles,CA,90019-2847
Renaissance School for Arts and Sciences(LAUSD),Los Angeles Unified,One Rolling Hills Prep Way,San Pedro,CA,90732-5200
Renuevo Elementary School(LAUSD),Los Angeles Unified,3154 E. Gage Ave.,Huntington Park,CA,90255-5346
Renuevo Leadership Academy(LAUSD),Los Angeles Unified,3154 E. Gage Ave.,Huntington Park,CA,90255-5346
Reseda Charter High(LAUSD),Los Angeles Unified,18230 Kittridge St.,Reseda,CA,91335-6121
Reseda Elementary(LAUSD),Los Angeles Unified,7265 Amigo Ave.,Reseda,CA,91335-3035
"Science, Technology, Engineering, Arts and Mathematics at Legacy High School Complex(LAUSD)",Los Angeles Unified,5225 Tweedy Blvd.,South Gate,CA,90280-5332
Second Street/2nd St. Elementary(LAUSD),Los Angeles Unified,1942 East Second St.,Los Angeles,CA,90033-3417
Serrania Avenue Charter For Enriched Studies(LAUSD),Los Angeles Unified,5014 Serrania Ave.,Woodland Hills,CA,91364-3303
Seven Arrows Elementary(LAUSD),Los Angeles Unified,15240 La Cruz Dr,Pacific Palisades,CA,90272-3401
Sylmar Charter High(LAUSD),Los Angeles Unified,13050 Borden Ave.,Sylmar,CA,91342-4251
Sylmar Elementary(LAUSD),Los Angeles Unified,13291 Phillippi Ave.,Sylmar,CA,91342-2810
Sylmar Leadership Academy(LAUSD),Los Angeles Unified,14550 Bledsoe St.,Sylmar,CA,91342-1414
Sylvan Park Elementary(LAUSD),Los Angeles Unified,6238 Noble Ave.,Van Nuys,CA,91411-2026
William Howard Taft Charter High School(LAUSD),Los Angeles Unified,5461 Winnetka Ave.,Woodland Hills,CA,91364-2548
Taper Avenue Elementary(LAUSD),Los Angeles Unified,1824 Taper Ave.,San Pedro,CA,90731-1175
Tarzana Elementary(LAUSD),Los Angeles Unified,5726 Topeka Dr.,Tarzana,CA,91356-1316
Tashbar Sephardic Yeshiva Ketana(LAUSD),Los Angeles Unified,1210 South La Cienega Blvd.,Los Angeles,CA,90035-2521
Teach-Love-Connect Christian Academy(LAUSD),Los Angeles Unified,26347 Western Ave,Lomita,CA,90717-3519
Telfair Avenue Elementary(LAUSD),Los Angeles Unified,10975 Telfair Ave.,Pacoima,CA,91331-2821
Temple Isaiah Preschool and Kindergarten(LAUSD),Los Angeles Unified,10345 West Pico Blvd,Los Angeles,CA,90064-2607
Tenth Street/10th St.Elementary (LAUSD),Los Angeles Unified,1000 Grattan St.,Los Angeles,CA,90015-2046
Vinedale College Preparatory Academy(LAUSD),Los Angeles Unified,10150 La Tuna Canyon Rd.,Sun Valley,CA,91352-2101
Vintage Math/Science/Technology Magnet(LAUSD),Los Angeles Unified,15848 Stare St.,North Hills,CA,91343-1423
Virgil Middle(LAUSD),Los Angeles Unified,152 North Vermont Ave.,Los Angeles,CA,90004-4897
Angeles Workshop School(LAUSD),Los Angeles Unified,9713 Venice Blvd.,Los Angeles,CA,90034-5109
Canyon Charter Elementary(LAUSD),Los Angeles Unified,421 Entrada Dr.,Santa Monica,CA,90402-1303
Capistrano Avenue Elementary(LAUSD),Los Angeles Unified,8118 Capistrano Ave.,West Hills,CA,91304-3730
Carlos Santana Arts Academy(LAUSD),Los Angeles Unified,9301 Columbus Ave.,North Hills,CA,91343-2229
Caroldale Learning Community(LAUSD),Los Angeles Unified,22424 Caroldale Ave.,Carson,CA,90745-3654
Carousel(LAUSD),Los Angeles Unified,7899 La Tijera Blvd,Los Angeles,CA,90045-3145
Carpenter Community Charter(LAUSD),Los Angeles Unified,3909 Carpenter Ave.,Studio City,CA,91604-3732
Carson Christian School(LAUSD),Los Angeles Unified,17705 Central Ave.,Carson,CA,90746-1664
Carson Senior High(LAUSD),Los Angeles Unified,22328 South Main St.,Carson,CA,90745-4525
Carson Street Elementary(LAUSD),Los Angeles Unified,161 East Carson St.,Carson,CA,90745-2772
Carson-Gore Academy of Enviornmental Studies(LAUSD),Los Angeles Unified,3200 West Washington Blvd.,Los Angeles,CA,90018-1248
Seventy-Fifth Street /75th St Elementary (LAUSD),Los Angeles Unified,142 West 75th St.,Los Angeles,CA,90003-2014
Seventy-Fourth Street/74th St. Elementary (LAUSD),Los Angeles Unified,2112 West 74th St.,Los Angeles,CA,90047-2118
Shalhevet(LAUSD),Los Angeles Unified,910 South Fairfax Ave.,Los Angeles,CA,90036-4419
Sharp Avenue Elementary(LAUSD),Los Angeles Unified,13800 Pierce St.,Arleta,CA,91331-4530
Sheenway School and Culture Center(LAUSD),Los Angeles Unified,321 West 102nd St.,Los Angeles,CA,90003-4511
Shenandoah Street Elementary(LAUSD),Los Angeles Unified,2450 Shenandoah St.,Los Angeles,CA,90034-2026
Sheridan Street Elementary(LAUSD),Los Angeles Unified,416 North Cornwell St.,Los Angeles,CA,90033-1833
Sherman Oaks Center for Enriched Studies(LAUSD),Los Angeles Unified,18605 Erwin St.,Reseda,CA,91335-6824
Sherman Oaks Elementary Charter(LAUSD),Los Angeles Unified,14755 Greenleaf St.,Sherman Oaks,CA,91403-4127
Shirley Avenue Elementary(LAUSD),Los Angeles Unified,19452 Hart St.,Reseda,CA,91335-3735
Short Avenue Elementary(LAUSD),Los Angeles Unified,12814 Maxella Ave.,Los Angeles,CA,90066-6107
Sierra Canyon School(LAUSD),Los Angeles Unified,20801 Rinaldi St.,Chatsworth,CA,91311-1573
Sierra Park Elementary(LAUSD),Los Angeles Unified,3170 Budau Ave.,Los Angeles,CA,90032-2856
Sierra Vista Elementary(LAUSD),Los Angeles Unified,4342 Alpha St.,Los Angeles,CA,90032-1396
Stoner Avenue Elementary(LAUSD),Los Angeles Unified,11735 Braddock Dr.,Culver City,CA,90230-5141
Stoney Point Continuation(LAUSD),Los Angeles Unified,10010 de Soto Ave.,Chatsworth,CA,91311-3127
Stratford School (LAUSD),Los Angeles Unified,1200 North Cahuenga Blvd.,Los Angeles,CA,90038-1604
Stratford school West LA (LAUSD),Los Angeles Unified,2000 Stoner Ave.,Los Angles,CA,90025-6109
Virginia Road Elementary(LAUSD),Los Angeles Unified,2925 Virginia Rd.,Los Angeles,CA,90016-3628
Visitation Elementary(LAUSD),Los Angeles Unified,8740 South Emerson Ave.,Los Angeles,CA,90045-3723
Vista (LAUSD),Los Angeles Unified,3200 Motor Ave.,Los Angeles,CA,90034-3710
Vista del Valle Dual Language Academy(LAUSD),Los Angeles Unified,12441 Bromont Ave.,San Fernando,CA,91340-1306
Vista Middle(LAUSD),Los Angeles Unified,15040 Roscoe Blvd.,Panorama City,CA,91402-4513
Visual and Performing Arts at Legacy High School Complex(LAUSD),Los Angeles Unified,5225 Tweedy Blvd.,South Gate,CA,90280-5332
Wadsworth Avenue Elementary(LAUSD),Los Angeles Unified,981 East 41st St.,Los Angeles,CA,90011-2753
Walgrove Avenue Elementary(LAUSD),Los Angeles Unified,1630 Walgrove Ave.,Los Angeles,CA,90066-2299
Walnut Park Elementary(LAUSD),Los Angeles Unified,2642 Olive St.,Huntington Park,CA,90255-6324
Walnut Park Middle A School of Social Justice and Service Learning(LAUSD),Los Angeles Unified,7500 Marbrisa Ave.,Walnut Park,CA,90255-5612
"Walnut Park Middle B Science, Technology, Engineering and Mathematics Academy(LAUSD)",Los Angeles Unified,7500 Marbrisa Ave.,Walnut Park,CA,90255-5612
