id,district_x,district_y,original_name_x,original_name_y,status,school_name,school_name_with_some_districts_attached,participating,address_x,address_y,city_x,city_y,score,duped
840,LAUSD,LAUSD,Main Street Elementary DL Two-Way Im Spanish,Main Street Elementary,Active,Main Street Elementary DL Two-Way Im Spanish (LAUSD),Main Street Elementary DL Two-Way Im Spanish,True,129 E 53rd St,129 East 53rd St.,Los Angeles,Los Angeles, 89.41176470588236,False
841,LAUSD,LAUSD,Malabar Street Elementary,Malabar Street Elementary,Active,Malabar Street Elementary (LAUSD),Malabar Street Elementary,True,3200 E Malabar St,3200 East Malabar St.,Los Angeles,Los Angeles, 97.02970297029702,False
842,LAUSD,LAUSD,Manchester Avenue Elementary,Manchester Avenue Elementary,Active,Manchester Avenue Elementary (LAUSD),Manchester Avenue Elementary,True,661 W 87th St,661 West 87th St.,Los Angeles,Los Angeles, 96.96969696969697,False
843,LAUSD,LAUSD,Manchester Avenue Elementary Comm/Broadcasting Magnet,Manchester Avenue Elementary,Active,Manchester Avenue Elementary Comm/Broadcasting Magnet (LAUSD),Manchester Avenue Elementary Comm/Broadcasting Magnet,True,661 W 87th St,661 West 87th St.,Los Angeles,Los Angeles, 90.10309278350516,False
844,LAUSD,LAUSD,Manhattan Place Elementary,Manhattan Place Elementary,Active,Manhattan Place Elementary (LAUSD),Manhattan Place Elementary,True,1850 W 96th St,1850 West 96th St.,Los Angeles,Los Angeles, 96.90721649484536,False
845,LAUSD,LAUSD,Manual Arts Senior High,Manual Arts Senior High,Active,Manual Arts Senior High (LAUSD),Manual Arts Senior High,True,4131 S Vermont Ave,4131 South Vermont Ave.,Los Angeles,Los Angeles, 96.0,False
846,LAUSD,LAUSD,Manual Arts Senior High College Preparatory Magnet,Manual Arts Senior High,Active,Manual Arts Senior High College Preparatory Magnet (LAUSD),Manual Arts Senior High College Preparatory Magnet,True,4131 S Vermont Ave,4131 South Vermont Ave.,Los Angeles,Los Angeles, 89.18367346938776,False
847,LAUSD,,Maple PC DL Two-Way Im Spanish,,,Maple PC DL Two-Way Im Spanish (LAUSD),Maple PC DL Two-Way Im Spanish,True,3601 S Maple Ave,,Los Angeles,,,False
848,LAUSD,LAUSD,Maple Primary Center,Maple Primary Center,Active,Maple Primary Center (LAUSD),Maple Primary Center,True,3601 S Maple Ave,3601 South Maple Ave.,Los Angeles,Los Angeles, 95.55555555555556,False
849,LAUSD,LAUSD,Mar Vista Elementary,Mar Vista Elementary,Active,Mar Vista Elementary (LAUSD),Mar Vista Elementary,True,3330 Granville Ave,3330 Granville Ave.,Los Angeles,Los Angeles, 100.0,False
850,LAUSD,LAUSD,Marguerite Poindexter LaMotte Elementary,Marguerite Poindexter LaMotte Elementary,Active,Marguerite Poindexter LaMotte Elementary (LAUSD),Marguerite Poindexter LaMotte Elementary,True,4410 Orchard Ave,4410 Orchard Ave.,Los Angeles,Los Angeles, 100.0,False
851,LAUSD,LAUSD,Marianna Avenue Elementary,Marianna Avenue Elementary,Active,Marianna Avenue Elementary (LAUSD),Marianna Avenue Elementary,True,4215 E Gleason St,4215 East Gleason St.,Los Angeles,Los Angeles, 97.0873786407767,False
852,LAUSD,LAUSD,Marianna Avenue Elementary DL Two-Way Im Spanish,Marianna Avenue Elementary,Active,Marianna Avenue Elementary DL Two-Way Im Spanish (LAUSD),Marianna Avenue Elementary DL Two-Way Im Spanish,True,4215 E Gleason St,4215 East Gleason St.,Los Angeles,Los Angeles, 90.29702970297029,False
853,LAUSD,LAUSD,Marina Del Rey Middle School,Marina del Rey Middle,Active,Marina Del Rey Middle School (LAUSD),Marina Del Rey Middle School,True,12500 Braddock Dr,12500 Braddock Dr.,Los Angeles,Los Angeles, 95.0,False
854,LAUSD,,Marina Del Rey Middle School Performing Arts Magnet,,,Marina Del Rey Middle School Performing Arts Magnet (LAUSD),Marina Del Rey Middle School Performing Arts Magnet,True,12500 Braddock Dr,,Los Angeles,,,False
855,LAUSD,LAUSD,Mariposa-Nabi Primary Center,Mariposa-Nabi Primary Center,Active,Mariposa-Nabi Primary Center (LAUSD),Mariposa-Nabi Primary Center,True,987 S Mariposa Ave,987 South Mariposa Ave.,Los Angeles,Los Angeles, 96.36363636363636,False
856,LAUSD,LAUSD,Mark Twain Middle School,Mark Twain Middle,Active,Mark Twain Middle School (LAUSD),Mark Twain Middle School,True,2224 Walgrove Ave,2224 Walgrove Ave.,Los Angeles,Los Angeles, 95.0,False
857,LAUSD,,Mark Twain Middle School World Languages Magnet,,,Mark Twain Middle School World Languages Magnet (LAUSD),Mark Twain Middle School World Languages Magnet,True,2224 Walgrove Ave,,Los Angeles,,,False
858,LAUSD,LAUSD,Marlton School,Marlton,Active,Marlton School (LAUSD),Marlton School,True,4000 Santo Tomas Dr,4000 Santo Tomas Dr.,Los Angeles,Los Angeles, 95.0,False
859,LAUSD,LAUSD,Marquez Charter,Marquez Charter,Active,Marquez Charter (LAUSD),Marquez Charter,True,16821 Marquez Ave,16821 Marquez Ave.,Pacific Palisades,Pacific Palisades, 100.0,False
860,LAUSD,LAUSD,Martha Escutia Primary Center,Martha Escutia Primary Center,Active,Martha Escutia Primary Center (LAUSD),Martha Escutia Primary Center,True,6401 Bear Ave,6401 Bear Ave.,Bell,Bell, 100.0,False
861,LAUSD,,Martin Luther King Jr El DL Two-Way Im Spanish,,,Martin Luther King Jr El DL Two-Way Im Spanish (LAUSD),Martin Luther King Jr El DL Two-Way Im Spanish,True,3989 S Hobart Blvd,,Los Angeles,,,False
862,LAUSD,LAUSD,Martin Luther King Jr Elementary,Martin Luther King Jr. Elementary,Active,Martin Luther King Jr Elementary (LAUSD),Martin Luther King Jr Elementary,True,3989 S Hobart Blvd,3989 South Hobart Blvd.,Los Angeles,Los Angeles, 96.61016949152543,False
863,LAUSD,LAUSD,Marvin Elementary,Marvin Elementary,Active,Marvin Elementary (LAUSD),Marvin Elementary,True,2411 Marvin Ave,2411 Marvin Ave.,Los Angeles,Los Angeles, 100.0,False
864,LAUSD,LAUSD,Marvin Elementary Language Magnet,Marvin Elementary,Active,Marvin Elementary Language Magnet (LAUSD),Marvin Elementary Language Magnet,True,2411 Marvin Ave,2411 Marvin Ave.,Los Angeles,Los Angeles, 95.0,False
865,LAUSD,LAUSD,Mary McLeod Bethune Middle School,Mary McLeod Bethune Middle,Active,Mary McLeod Bethune Middle School (LAUSD),Mary McLeod Bethune Middle School,True,155 W 69th St,155 West 69th St.,Los Angeles,Los Angeles, 90.19607843137256,False
866,LAUSD,,Mary McLeod Bethune Middle School Science/Tech/Math Magnet,,,Mary McLeod Bethune Middle School Science/Tech/Math Magnet (LAUSD),Mary McLeod Bethune Middle School Science/Tech/Math Magnet,True,155 W 69th St,,Los Angeles,,,False
867,LAUSD,LAUSD,Maurice Sendak Elementary,Maurice Sendak Elementary,Active,Maurice Sendak Elementary (LAUSD),Maurice Sendak Elementary,True,11414 W Tiara St,11414 West Tiara St.,North Hollywood,North Hollywood, 96.96969696969697,False
