,district_x,name,address_x,city,original_name_x,Match,simple_name,district_y,status,address_y,Score,,,
64,Charter,aspire-titan-academy,6720 S Alameda St,Huntington Park,Aspire Titan Academy,"[('aspire titan academy', 100.0, 'aspire-titan-academy')]",aspire-titan-academy,Los Angeles Unified,Active,6720 South Alameda St.,100,,,
65,Charter,birmingham-community-high-school,17000 Haynes Street,Lake Balboa,Birmingham Community High School,"[('unity high', 90.0, 'unity-high')]",unity-high,,,,90,,,
66,Charter,california-school-of-the-arts---san-gabriel-valley,1401 Highland Avenue,Duarte,California School of the Arts - San Gabriel Valley,"[('california school of the arts   san gabriel valley', 100.0, 'california-school-of-the-arts---san-gabriel-valley')]",california-school-of-the-arts---san-gabriel-valley,Duarte Unified,Active,1401 Highland Ave.,100,,,
67,Charter,camino-nuevo-dalzell-lance-high-school,3500 West Temple Street,Los Angeles,Camino Nuevo Dalzell Lance High School,[],,,,,,,,
68,Charter,champs-charter-high-school-of-the-arts,6842 Van Nuys Blvd (5th Floor),Van Nuys,CHAMPS Charter High School of the Arts,[],,,,,,,,
69,Charter,conservation-corps-of-long-beach,340 Nieto Avenue,Long Beach,Conservation Corps of Long Beach,"[('conservation corps of long beach gateway cities charter', 90.0, 'conservation-corps-of-long-beach-gateway-cities-charter')]",conservation-corps-of-long-beach-gateway-cities-charter,,,,90,,,
70,Charter,davinci-rise-high-school-(charter),201 N. Douglas St.,El Segundo,DaVinci RISE High School (Charter),"[('rise high', 90.0, 'rise-high')]",rise-high,,,,90,,,
71,Charter,ednovate--esperanza-college-prep,319 N Humphreys Ave,Los Angeles,Ednovate- Esperanza College Prep,"[('ednovate   esperanza college prep', 98.46153846153847, 'ednovate---esperanza-college-prep')]",ednovate---esperanza-college-prep,,,,98.46153846,,,
72,Charter,ednovate-east-college-prep,3825 N Mission Rd,Los Angeles,Ednovate-East College Prep,"[('ednovate   east college prep', 96.2962962962963, 'ednovate---east-college-prep')]",ednovate---east-college-prep,,,,96.2962963,,,
73,Charter,ednovate---usc-hybrid-high-college-prep,3939 S Vermont Ave,Los Angeles,Ednovate - USC Hybrid High College Prep,"[('ednovate   usc hybrid high college prep', 100.0, 'ednovate---usc-hybrid-high-college-prep')]",ednovate---usc-hybrid-high-college-prep,Los Angeles Unified,Active,3939 S. Vermont Ave.,100,,,
74,Charter,ednovate-brio-college-prep,350 S Figueroa St Ste 100,Los Angeles,Ednovate-Brio College Prep,"[('ednovate   brio college prep', 96.2962962962963, 'ednovate---brio-college-prep')]",ednovate---brio-college-prep,,,,96.2962963,,,
75,Charter,ednovate---south-la-college-prep,700 Wilshire Bl Ste 400,Los Angeles,Ednovate - South LA College Prep,"[('ednovate   south la college prep', 100.0, 'ednovate---south-la-college-prep')]",ednovate---south-la-college-prep,Los Angeles Unified,Active,700 Wilshire Blvd. Ste. 400,100,,,
76,Charter,el-camino-real-charter-high-school,5440 Valley Circle Blvd.,Woodland Hills,El Camino Real Charter High School,"[('camino real high school', 95.0, 'camino-real-high-school')]",camino-real-high-school,,,,95,,,
77,Charter,environmental-charter-high-school--–-gardena-(echs-g),2818 Manhattan Beach Blvd,Gardena,Environmental Charter High School  – Gardena (ECHS-G),"[('environmental charter high   gardena', 95.0, 'environmental-charter-high---gardena')]",environmental-charter-high---gardena,,,,95,,,
78,Charter,environmental-charter-high-school-–-lawndale-(echs-l),16315 Grevillea Avenue ,Lawndale,Environmental Charter High School – Lawndale (ECHS-L),"[('environmental charter high   lawndale', 95.0, 'environmental-charter-high---lawndale')]",environmental-charter-high---lawndale,,,,95,,,
79,Charter,environmental-charter-middle-school-–-gardena-(ecms-g),812 W. 165th Place,Gardena,Environmental Charter Middle School – Gardena (ECMS-G),"[('environmental charter middle', 90.0, 'environmental-charter-middle')]",environmental-charter-middle,,,,90,,,
80,Charter,environmental-charter-middle-school-–-inglewood-(ecms-i),3600 W. Imperial Highway,Inglewood,Environmental Charter Middle School – Inglewood (ECMS-I),"[('environmental charter middle   inglewood', 95.0, 'environmental-charter-middle---inglewood')]",environmental-charter-middle---inglewood,,,,95,,,
81,Charter,gabriella-charter-schools-#1,11435 Logan Street,Los Angeles,Gabriella Charter Schools #1,"[('gabriella charter', 90.0, 'gabriella-charter')]",gabriella-charter,,,,90,,,
82,Charter,gabriella-charter-schools-#2,3736 Trinity Street,Los Angeles,Gabriella Charter Schools #2,"[('gabriella charter 2', 95.0, 'gabriella-charter-2')]",gabriella-charter-2,,,,95,,,
83,Charter,icef-inglewood-elementary-charter-academy,434 S. Grevillea Ave.,Inglewood,ICEF Inglewood Elementary Charter Academy,"[('icef inglewood elementary charter academy', 100.0, 'icef-inglewood-elementary-charter-academy')]",icef-inglewood-elementary-charter-academy,Inglewood Unified,Active,434 South Grevillea Ave.,100,,,
84,Charter,icef-innovation-los-angeles-elementary,5029 S. Vermont Ave,Los Angeles,ICEF Innovation Los Angeles Elementary,"[('los angeles elementary', 90.0, 'los-angeles-elementary')]",los-angeles-elementary,,,,90,,,
85,Charter,icef-view-park-preparatory-elementary-school,5311 S. Crenshaw Blvd.,Los Angeles,ICEF View Park Preparatory Elementary School,"[('icef view park preparatory elementary', 95.0, 'icef-view-park-preparatory-elementary')]",icef-view-park-preparatory-elementary,,,,95,,,
86,Charter,icef-view-park-preparatory-high-school,5701 S. Crenshaw Blvd,Los Angeles,ICEF View Park Preparatory High School,"[('icef view park preparatory high', 95.0, 'icef-view-park-preparatory-high')]",icef-view-park-preparatory-high,,,,95,,,
87,Charter,icef-view-park-preparatory-middle-school,5311 S. Crenshaw Blvd.,Los Angeles,ICEF View Park Preparatory Middle School,"[('icef view park preparatory middle', 95.0, 'icef-view-park-preparatory-middle')]",icef-view-park-preparatory-middle,,,,95,,,
88,Charter,icef-vista-elementary-charter-academy,4471 Inglewood Blvd,Los Angeles,ICEF Vista Elementary Charter Academy,"[('icef vista elementary academy', 95.0, 'icef-vista-elementary-academy')]",icef-vista-elementary-academy,,,,95,,,
89,Charter,icef-vista-middle-charter-academy,4471 Inglewood Blvd,Los Angeles,ICEF Vista Middle Charter Academy,"[('icef vista middle academy', 95.0, 'icef-vista-middle-academy')]",icef-vista-middle-academy,,,,95,,,
90,Charter,intellectual-virtues-academy-of-long-beach-,1637 Long Beach Blvd.,Long Beach,Intellectual Virtues Academy of Long Beach ,"[('intellectual virtues academy of long beach', 100.0, 'intellectual-virtues-academy-of-long-beach')]",intellectual-virtues-academy-of-long-beach,,,,100,,,
91,Charter,larchmont-charter-school,"444 N. LARCHMONT BLVD., SUITE 207",Los Angeles,Larchmont Charter School,"[('larchmont charter', 95.0, 'larchmont-charter')]",larchmont-charter,,,,95,,,
92,Charter,libertas-college-preparatory-charter-school,5101 S. Western Avenue,Los Angeles,Libertas College Preparatory Charter School,"[('libertas college preparatory charter', 95.0, 'libertas-college-preparatory-charter')]",libertas-college-preparatory-charter,,,,95,,,
93,Charter,los-angeles-academy-of-arts-and-enterprise-(laaae),1200 Colton St.,Los Angeles,Los Angeles Academy of Arts and Enterprise (LAAAE),"[('los angeles academy of arts and enterprise', 95.0, 'los-angeles-academy-of-arts-and-enterprise')]",los-angeles-academy-of-arts-and-enterprise,,,,95,,,
94,Charter,matrix-academy-for-success,1010 E 34th St.,Los Angeles,Matrix Academy for Success,"[('matrix for success academy', 95.0, 'matrix-for-success-academy')]",matrix-for-success-academy,,,,95,,,
95,Charter,new-designs-charter-school,1342 W. Adams Blvd.,Los Angeles,New Designs Charter School,"[('new designs charter', 95.0, 'new-designs-charter')]",new-designs-charter,,,,95,,,
96,Charter,new-west-charter,1905 Armacost Ave,Los Angeles,New West Charter,"[('new west charter', 100.0, 'new-west-charter')]",new-west-charter,SBE - New West Charter,Active,1905 Armacost Ave.,100,,,
97,Charter,north-valley-military-institute,12105 Allegheny Street,Sun Valley,North Valley Military Institute,"[('north valley military institute college preparatory academy', 90.0, 'north-valley-military-institute-college-preparatory-academy')]",north-valley-military-institute-college-preparatory-academy,,,,90,,,
98,Charter,pacoima-charter-school,11016 Norris Ave.,Pacoima,Pacoima Charter School,[],,,,,,,,
99,Charter,para-los-ninos---evelyn-thurman-gratts-primary-center (tk-2),474 Hartford Avenue,Los Angeles,Para Los Ninos - Evelyn Thurman Gratts Primary Center (TK-2),[],,,,,,,,
100,Charter,para-los-ninos---,,,Para Los Ninos - ,[],,,,,,,,
101,Charter,russell-westbrook-why-not?-high-school,,,Russell Westbrook Why Not? High School,"[('russell westbrook why not  high', 95.0, 'russell-westbrook-why-not?-high')]",russell-westbrook-why-not?-high,,,,95,,,
102,Charter,russell-westbrook-why-not?-middle-school,,,Russell Westbrook Why Not? Middle School,"[('russell westbrook why not  middle', 95.0, 'russell-westbrook-why-not?-middle')]",russell-westbrook-why-not?-middle,,,,95,,,
103,Charter,scholarship-prep,24910 S. Avalon Blvd,Wilmington,Scholarship Prep,"[('scholarship prep   south bay', 90.0, 'scholarship-prep---south-bay')]",scholarship-prep---south-bay,,,,90,,,
104,Charter,synergy-academies,,,Synergy Academies,[],,,,,,,,
105,Charter,time-community-schools,,,TIME Community Schools,"[('time community', 90.0, 'time-community')]",time-community,,,,90,,,
106,Charter,value-schools,,,Value Schools,[],,,,,,,,
107,Charter,vaughn-next-century-learning-center,,,Vaughn Next Century Learning Center,"[('vaughn next century learning center', 100.0, 'vaughn-next-century-learning-center')]",vaughn-next-century-learning-center,Los Angeles Unified,Active,13330 Vaughn St.,100,,,
108,Charter,vox-collegiate,,,Vox Collegiate,"[('vox collegiate of los angeles', 90.0, 'vox-collegiate-of-los-angeles')]",vox-collegiate-of-los-angeles,,,,90,,,
109,Charter,we-the-people-charter-school,,,We the People Charter School,[],,,,,,,,
110,Charter,youthbuild-avalon-/-mary-b-henry-academy,4920 S. Avalon Blvd.,Los Angeles,YouthBuild Avalon / Mary B. Henry Academy,[],,,,,,,,
111,Charter,youthbuild-canoga-park-at-ruth,6925 Canoga Ave.,Canoga Park,YouthBuild Canoga Park at R.U.T.H.,[],,,,,,,,
112,Charter,youthbuild-central-la-/-youth-justice-coalition,7625 S. Central Ave.,Los Angeles,YouthBuild Central LA / Youth Justice Coalition,[],,,,,,,,
